Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
17 SEAGRAVE RD,187-29,187,29,3714,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399360809500003, -71.139401585000002)"
54 GOLD STAR RD,184-121,184,121,2275,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3993757824, -71.1300415235999)"
16 HARRISON AVE,188-129,188,129,3796,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.399423304099898, -71.137314769200003)"
17 HARRISON AVE,188-33,188,33,4400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399420929100003, -71.1367914418)"
41-43 GOLD STAR RD,184-65,184,65,3150,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3993071607999, -71.130630004699896)"
40-42 MAGOUN ST,189-24,189,24,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399363981999898, -71.134949021099899)"
41 MAGOUN ST,188-77,188,77,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399361498799898, -71.135475764000006)"
35 MADISON AVE,188-59,188,59,4000,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399360123500003, -71.135845910599897)"
3 MORRISON CT,184-68,184,68,2120,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399286503299898, -71.130922846100006)"
24 WASHBURN AVE,184-80,184,80,3141,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399283370900001, -71.1311774931999)"
23 BROOKFORD ST,189-11,189,11,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399335086299899, -71.134550916699894)"
22 BROOKFORD ST,189-50,189,50,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399321797600003, -71.133985247799899)"
2485 MASSACHUSETTS AVE,184-31,184,31,11065,332,Commercial,AUTO-REPAIR, ,0, , , , ,"(42.399165024399899, -71.1318844482999)"
2510 MASSACHUSETTS AVE,189-53,189,53,3298,105,Mixed Use Residential,MXD THREE-FM-RE,groundfloor,3, , , , ,"(42.399248157899898, -71.133037944700007)"
22 SEAGRAVE RD,187-27,187,27,4217,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399236897400002, -71.139654054000005)"
21 KIMBALL ST,187-54,187,54,3780,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399319106199897, -71.138262904000001)"
20 HARRISON AVE,188-130,188,130,4096,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399309575799897, -71.137328883699894)"
20 KASSUL PK,187-52,187,52,3414,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399316379799899, -71.138577976899896)"
19 HARRISON AVE,188-32,188,32,4400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399310139299899, -71.136790203900006)"
35 GOLD STAR RD,184-67,184,67,3885,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399151857699898, -71.130784425900003)"
20 WASHBURN AVE,184-79,184,79,3289,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3992005226999, -71.131260763499895)"
39 GOLD STAR RD,184-66,184,66,2275,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3992100858, -71.1306698283)"
46 MAGOUN ST,189-23,189,23,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3992573154, -71.134948858399895)"
2508 MASSACHUSETTS AVE,189-54,189,54,4496,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399155263799898, -71.132895252500006)"
45 MAGOUN ST,188-78,188,78,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3992505346, -71.135475081899898)"
24 SEAGRAVE RD,187-58,187,58,4062,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3991803304, -71.139786044700003)"
39 MADISON AVE,188-58,188,58,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399248290300001, -71.135845395399897)"
18 KIMBALL ST,188-122,188,122,6468,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.399226481600003, -71.137748453300006)"
27 BROOKFORD ST,189-12,189,12,4520,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399225840100002, -71.134547185499898)"
9 COTTAGE PARK AVE,189-37,189,37,4758,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399217139800001, -71.133556347699894)"
26 BROOKFORD ST,189-49,189,49,4520,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399210290200003, -71.133984989200002)"
2500 MASSACHUSETTS AVE,189-93,189,93,11491,955,Health,Hospitals & Medical Offic, ,0, , , ,Other NonTax,"(42.398972037900002, -71.132595112600001)"
17 KIMBALL ST,187-55,187,55,3780,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399204500400003, -71.138260886599895)"
26 HARRISON AVE,188-123,188,123,6601,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399173144899898, -71.137336745300004)"
44 MADISON AVE,188-47,188,47,4400,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399202072500003, -71.136379131200002)"
14 KASSUL PK,187-53,187,53,3368,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399201997900001, -71.138577832300001)"
25 HARRISON AVE,188-31,188,31,4400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3991995174, -71.136789644299895)"
16 WASHBURN AVE,184-78,184,78,4578,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399098862999899, -71.131352926000005)"
26 SEAGRAVE RD,187-57,187,57,3707,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399113185200001, -71.139913629899894)"
50 MAGOUN ST,189-22,189,22,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3991483856, -71.134945916199896)"
4 MORRISON CT,184-69,184,69,3108,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3990677261, -71.131086073800006)"
49 MAGOUN ST,188-79,188,79,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399140425799899, -71.1354729996999)"
14 COTTAGE PARK AVE,189-64,189,64,3938,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399067216900001, -71.1330680258)"
41 MADISON AVE,188-57,188,57,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399137326499897, -71.135843642799898)"
22 SEVEN PINES AVE,184-122,184,122,2600,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.399051641299899, -71.129450732999899)"
31 BROOKFORD ST,189-13,189,13,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399115733599899, -71.134548529400007)"
13 COTTAGE PARK AVE,189-38,189,38,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399104575300001, -71.133564852899895)"
30 BROOKFORD ST,189-48,189,48,4520,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399099337700001, -71.133983155600006)"
2473 MASSACHUSETTS AVE,184-159,184,159,15131,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.3989152272, -71.131539923099893)"
48 MADISON AVE,188-48,188,48,4400,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3990933539, -71.136376576999893)"
73 WHITTEMORE AVE,188-141,188,141,32992,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.398913655199898, -71.137543657600006)"
29 HARRISON AVE,188-30,188,30,4400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3990890737999, -71.136787150100005)"
28 SEAGRAVE RD,187-56,187,56,3646,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399029745999897, -71.140009340299898)"
125-127 WHITTEMORE AVE,187-70,187,70,5719,104,Residential,TWO-FAM-RES, ,2, , , ,Authority NonTax,"(42.398982474, -71.139528562400002)"
10 KASSUL PK,187-71,187,71,3549,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3990862616999, -71.138564717700007)"
18 SEVEN PINES AVE,184-123,184,123,2600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3989946336999, -71.129354527199894)"
29 GOLD STAR RD,184-70,184,70,2450,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3990138477999, -71.130876081599894)"
52 MAGOUN ST,189-21,189,21,4000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.399035720100002, -71.134945312900001)"
53 MAGOUN ST,188-80,188,80,4000,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.399029284599898, -71.135471702399897)"
49 MADISON AVE,188-56,188,56,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399026710100003, -71.135842263499896)"
131 WHITTEMORE AVE,187-65,187,65,3776,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398957397700002, -71.139732036799899)"
14 SEVEN PINES AVE,184-124,184,124,2600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3989367325999, -71.129261476699895)"
35 BROOKFORD ST,189-14,189,14,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.399004071299899, -71.134547035300002)"
19 COTTAGE PARK AVE,189-39,189,39,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398993780200001, -71.133563729499897)"
34 BROOKFORD ST,189-47,189,47,4520,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398988195100003, -71.133981679000001)"
30 SEAGRAVE RD,187-23,187,23,4956,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398936941199899, -71.140101432999899)"
25 GOLD STAR RD,184-71,184,71,2450,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.398934826100003, -71.130952480900007)"
50 MADISON AVE,188-49,188,49,4917,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3989764957999, -71.136368245499895)"
3 GOLD STAR ROAD PL,184-74,184,74,2640,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398912155300003, -71.1312271944999)"
53-59 WHITTEMORE AVE,188-140,188,140,12533,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.398861090399897, -71.136808411100006)"
4 KASSUL PK,187-51,187,51,7291,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398906022600002, -71.138566136600005)"
36 CAMP ST,184-144,184,144,3250,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.398876957299898, -71.129487761999897)"
32 GOLD STAR RD,184-115,184,115,2275,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398904928299899, -71.130491777800003)"
8 SEVEN PINES AVE,184-125,184,125,2457,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398885673400002, -71.129153762900003)"
18 COTTAGE PARK AVE,189-63,189,63,4494,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.398947012199898, -71.132997682699894)"
58 MAGOUN ST,189-20,189,20,5737,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398899714000002, -71.134937984199894)"
57 MAGOUN ST,188-81,188,81,4407,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398913277299897, -71.135463537099895)"
51 MADISON AVE,188-55,188,55,3444,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398923719099898, -71.135833731600002)"
19 GOLD STAR RD,184-72,184,72,2450,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3988550029, -71.131029168200001)"
7 EDMUNDS ST,189-94,189,94,3377,424,Utility,PUB UTIL REG, ,0, , , , ,"(42.398799419600003, -71.132691706100005)"
39 BROOKFORD ST,189-15,189,15,4520,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398893300700003, -71.134544952499894)"
45 CAMERON AVE,184-126,184,126,2187,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3988342371999, -71.128965676700005)"
21 COTTAGE PARK AVE,189-40,189,40,4520,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398882139199898, -71.133561551300005)"
32 CAMP ST,184-143,184,143,3250,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3988064013, -71.129566427599897)"
36-48 BROOKFORD ST,189-91,189,91,13442,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.398770142300002, -71.133975053399894)"
28 GOLD STAR RD,184-114,184,114,2275,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398825887000001, -71.130568500799896)"
49 WHITTEMORE AVE,188-52,188,52,4380,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398790619800003, -71.136577520800003)"
45 WHITTEMORE AVE,188-51,188,51,4380,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398780897599899, -71.136413424400004)"
56 MADISON AVE,188-136,188,136,2225,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.398840561299899, -71.136249551899894)"
22 COTTAGE PARK AVE,189-84,189,84,24000,112,Residential,>8-UNIT-APT, ,16, , , , ,"(42.398717190100001, -71.1329918685)"
53 MADISON AVE,188-105,188,105,1986,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398836335699897, -71.135917071500003)"
15 GOLD STAR RD,184-73,184,73,2418,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.398772473400001, -71.131105678300003)"
43 CAMERON AVE,184-127,184,127,2281,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3987602537999, -71.129047499099897)"
26 CAMP ST,184-142,184,142,3250,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.398736044700001, -71.129644806900004)"
25 WHITTEMORE AVE,188-106,188,106,13983,130,Vacant Residential,RES-DEV-LAND, ,0, , , , ,"(42.398724087300003, -71.135543659199897)"
41 CAMERON AVE,184-128,184,128,3510,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398717464100002, -71.129182717600003)"
24 GOLD STAR RD,184-113,184,113,2275,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3987466471999, -71.130644419500001)"
2480-2482 MASSACHUSETTS AVE,189-72,189,72,11507,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.398624825500001, -71.132169736500003)"
43 BROOKFORD ST,189-16,189,16,7796,424,Utility,PUB UTIL REG, ,0, , , , ,"(42.398742021700002, -71.134540730599895)"
62 MAGOUN ST,189-18,189,18,10048,390,Vacant Commercial,COM-DEV-LAND, ,0, , , , ,"(42.398686770700003, -71.134941549399898)"
57 MADISON AVE,188-104,188,104,1986,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398746793900003, -71.135916068)"
37 CAMERON AVE,184-129,184,129,3510,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398642207000002, -71.129266665000003)"
60 MADISON AVE,188-135,188,135,2225,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.398705404300003, -71.136250171)"
18 GOLD STAR RD,184-112,184,112,2275,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3986668589, -71.130720960800005)"
2457 MASSACHUSETTS AVE,184-193,184,193,5019,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.398603277299898, -71.131264034699896)"
9-11 EDMUNDS ST,189-82,189,82,2660,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3986687895, -71.132656682000004)"
31 CAMERON AVE,184-130,184,130,3510,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.398565394499897, -71.129351790100003)"
59 MADISON AVE,188-103,188,103,2047,130,Vacant Residential,RES-DEV-LAND, ,0, , , , ,"(42.398657805600003, -71.1359157151999)"
35 COTTAGE PARK AVE,189-87,189,87,99479,112,Residential,>8-UNIT-APT, ,57, , , , ,"(42.39833952, -71.1337660567999)"
29 CAMERON AVE,184-131,184,131,3510,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.398488427700002, -71.129436730400002)"
15 EDMUNDS ST,189-81,189,81,2660,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3985636618999, -71.132655004200004)"
12 GOLD STAR RD,184-110,184,110,2307,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.398507523200003, -71.130874786299898)"
18 EDMUNDS ST,189-76,189,76,6967,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.398397932000002, -71.132287753699899)"
12 WHITTEMORE AVE,189-97,189,97,4000,131,Vacant Residential,RES-PDV-LAND, ,0, , , , ,"(42.3984978015, -71.134938324100006)"
25 CAMERON AVE,184-132,184,132,3510,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.398413199399897, -71.129521336600007)"
2451 MASSACHUSETTS AVE,184-109,184,109,4618,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.3983909459999, -71.130986034399896)"
19 EDMUNDS ST,189-80,189,80,2660,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398459032300003, -71.132654111899896)"
32 WHITTEMORE AVE,188-12,188,12,32369,104,Residential,TWO-FAM-RES, ,6, , , , ,"(42.398324988500001, -71.135350114700003)"
23 FAIR OAKS ST,184-137,184,137,2600,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.398360648800001, -71.129903802000001)"
23 CAMERON AVE,184-133,184,133,3510,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.398341503399898, -71.129599652799897)"
2435 MASSACHUSETTS AVE,184-172,184,172,9788,112,Residential,>8-UNIT-APT, ,15, , , , ,"(42.398255174200003, -71.130736863600006)"
32 CAMERON AVE,183-14,183,14,5414,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.3982711811, -71.128917162099896)"
23 EDMUNDS ST,189-79,189,79,2660,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398353556300002, -71.132649528300007)"
19 FAIR OAKS ST,184-136,184,136,2106,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398297232200001, -71.129822205599893)"
19 CAMERON AVE,184-134,184,134,2457,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398243308200001, -71.1296390438999)"
28 CAMERON AVE,183-13,183,13,5021,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.398156743199898, -71.129044641700006)"
25 EDMUNDS ST,189-78,189,78,3767,390,Vacant Commercial,COM-DEV-LAND, ,0, , , , ,"(42.398227531899899, -71.132644502199895)"
15 CAMERON AVE,184-135,184,135,2457,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.398170028400003, -71.129722861800005)"
95 ELMWOOD ST,183-114,183,114,8920,332,Commercial,AUTO-REPAIR, ,0, , , , ,"(42.3980720996, -71.128662400099898)"
24 CAMERON AVE,183-12,183,12,4332,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.398054711599897, -71.129159116699896)"
2411 MASSACHUSETTS AVE,184-LP,184,LP,164603,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.397998410299898, -71.134025157099899)"
18 CAMERON AVE,183-11,183,11,2657,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3979787427999, -71.129243753200001)"
99 ELMWOOD ST,183-115,183,115,9775,332,Commercial,AUTO-REPAIR, ,0, , , , ,"(42.3978891191, -71.128905232899896)"
16 CAMERON AVE,183-10,183,10,2657,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3979203118, -71.129306416399899)"
14 CAMERON AVE,183-9,183,9,1794,424,Utility,PUB UTIL REG, ,0, , , , ,"(42.397879557499898, -71.129376121700005)"
149R HARVEY ST,190-246,190,246,805,975,Transportation,MBTA/Railroad, ,0, , , ,State NonTax,"(42.397921139399898, -71.1348315482999)"
10 CAMERON AVE,183-7,183,7,1842,132,Vacant Residential,RES-UDV-LAND, ,0, , , , ,"(42.3978535948999, -71.129493597500002)"
95 HARVEY ST,190-244,190,244,8514,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,8, , , , ,"(42.397588205600002, -71.1332250504)"
91 HARVEY ST,190-245,190,245,7176,31,Mixed Use Commercial,MULTIUSE-COM,mixed,1, , , , ,"(42.3977549735, -71.133014014899899)"
69 HARVEY ST,190-21,190,21,12375,112,Residential,>8-UNIT-APT, ,16, , ,YES, ,"(42.3975782913, -71.1326329474999)"
9 WESTLEY AVE,190-22,190,22,2583,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397732763299899, -71.132359802500005)"
10 WESTLEY AVE,191-1,191,1,2091,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397710561899899, -71.131994258399899)"
45 HARVEY ST,191-117,191,117,3596,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397685694400003, -71.131711781299899)"
35 HARVEY ST,191-110,191,110,6958,121,Assisted Living/Boarding House,BOARDING-HSE, ,16, , , , ,"(42.397436417500003, -71.131457679999897)"
1 CEDAR ST,191-4,191,4,7591,353,Commercial,FRAT-ORGANIZ, ,0, , , ,Other NonTax,"(42.397637928100004, -71.131249705900004)"
115 HARVEY ST,190-189,190,189,3183,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.397573135000002, -71.133809523799897)"
7 WESTLEY AVE,190-23,190,23,2387,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3976336546, -71.1323626934999)"
79 HARVEY ST,190-237,190,237,5253,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.397520055900003, -71.132838423300001)"
163 HARVEY ST,190-147,190,147,1956,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3975977095999, -71.135170530899899)"
8 WESTLEY AVE,191-10,191,10,2040,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3976150696, -71.132006022499894)"
137 HARVEY ST,190-256,190,256,3066,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397573542499899, -71.134475728400005)"
159 HARVEY ST,190-148,190,148,1974,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397589676099898, -71.135051519300006)"
155 HARVEY ST,190-149,190,149,1950,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397581744599897, -71.134932248699897)"
149 HARVEY ST,190-209,190,209,1916,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397572695000001, -71.134814619400004)"
143 HARVEY ST,190-250,190,250,2263,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397570666, -71.134686881700006)"
43 HARVEY ST,191-116,191,116,2422,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397596087300002, -71.131722973600006)"
85 HARVEY ST,190-238,190,238,3570,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.397490664499898, -71.1329914879)"
5 WESTLEY AVE,190-24,190,24,2276,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397538975700002, -71.1323674815999)"
6 WESTLEY AVE,191-9,191,9,2040,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397521228800002, -71.132017719700002)"
5 CEDAR ST,191-5,191,5,5117,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.397488382600002, -71.131157659799896)"
41 HARVEY ST,191-115,191,115,2422,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3975245882, -71.131731032100006)"
48 LOCKE ST,183-89,183,89,2844,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3974381369, -71.128022600199898)"
39 HARVEY ST,191-114,191,114,2422,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397453491299899, -71.1317401961999)"
65 HARVEY ST,190-26,190,26,1796,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.397420118299898, -71.132432866100004)"
61 HARVEY ST,190-25,190,25,1650,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397412297800003, -71.132313655100006)"
194-196 HARVEY ST,190-226,190,226,4806,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.397416308300002, -71.136147791200003)"
55 HARVEY ST,191-8,191,8,1650,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.397401663799897, -71.1320879883)"
51 HARVEY ST,191-7,191,7,1650,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397393048600001, -71.131976929499899)"
51 LOCKE ST,183-88,183,88,5908,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.397304767599898, -71.128231015300003)"
184-186 HARVEY ST,190-258,190,258,9639,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.397302688000003, -71.135714661400002)"
138-140 JACKSON ST,190-30,190,30,3120,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.397344568400001, -71.135475858700005)"
37 HARVEY ST,191-113,191,113,3913,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397358639099899, -71.131750781500003)"
17 HARVEY ST,191-6,191,6,5500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.397337601300002, -71.131155549599896)"
173 HARVEY ST,190-248,190,248,56953,112,Residential,>8-UNIT-APT, ,32, , ,YES, ,"(42.397733651700001, -71.135593185399898)"
156 HARVEY ST,190-229,190,229,8344,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3972531751999, -71.134932890399895)"
148 HARVEY ST,190-58,190,58,4600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397246529100002, -71.134730534400006)"
144 HARVEY ST,190-59,190,59,4417,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.397243456699897, -71.134581448299897)"
136 HARVEY ST,190-60,190,60,4235,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3972386153999, -71.134432882400006)"
126 HARVEY ST,190-162,190,162,5208,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3972471404999, -71.1341033998999)"
116 HARVEY ST,190-164,190,164,4827,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.397244234799899, -71.133882262499895)"
108 HARVEY ST,190-82,190,82,4500,130,Vacant Residential,RES-DEV-LAND, ,0, , , , ,"(42.3971831024, -71.133694026000001)"
